ID,Response
50883,0
50884,1
50885,1
50886,0
50887,0
50888,1
50889,1
50890,0
50891,1
50892,0
50893,0
50894,1
50895,0
50896,0
50897,1
50898,1
50899,1
50900,0
50901,1
50902,1
50903,0
50904,1
50905,0
50906,0
50907,0
50908,0
50909,1
50910,1
50911,1
50912,0
50913,1
50914,1
50915,0
50916,1
50917,1
50918,1
50919,1
50920,0
50921,1
50922,0
50923,0
50924,0
50925,1
50926,0
50927,1
50928,0
50929,1
50930,0
50931,1
50932,1
50933,0
50934,0
50935,1
50936,1
50937,1
50938,1
50939,1
50940,1
50941,1
50942,1
50943,1
50944,1
50945,0
50946,1
50947,0
50948,1
50949,1
50950,1
50951,1
50952,1
50953,1
50954,0
50955,0
50956,0
50957,0
50958,0
50959,0
50960,1
50961,0
50962,0
50963,0
50964,0
50965,1
50966,1
50967,1
50968,0
50969,1
50970,1
50971,0
50972,1
50973,0
50974,1
50975,1
50976,0
50977,1
50978,1
50979,0
50980,1
50981,0
50982,0
50983,0
50984,1
50985,0
50986,0
50987,0
50988,1
50989,0
50990,1
50991,1
50992,1
50993,0
50994,1
50995,1
50996,0
50997,1
50998,0
50999,0
51000,0
51001,1
51002,0
51003,1
51004,1
51005,1
51006,1
51007,1
51008,1
51009,0
51010,0
51011,1
51012,0
51013,1
51014,0
51015,1
51016,0
51017,0
51018,0
51019,0
51020,1
51021,0
51022,0
51023,0
51024,0
51025,0
51026,1
51027,0
51028,1
51029,0
51030,1
51031,0
51032,1
51033,1
51034,0
51035,1
51036,0
51037,1
51038,0
51039,1
51040,0
51041,1
51042,1
51043,0
51044,0
51045,0
51046,0
51047,0
51048,0
51049,0
51050,1
51051,1
51052,0
51053,1
51054,0
51055,1
51056,0
51057,1
51058,1
51059,1
51060,1
51061,1
51062,1
51063,1
51064,1
51065,0
51066,1
51067,0
51068,0
51069,0
51070,0
51071,1
51072,0
51073,0
51074,0
51075,0
51076,0
51077,1
51078,0
51079,0
51080,1
51081,0
51082,0
51083,0
51084,1
51085,1
51086,1
51087,1
51088,0
51089,0
51090,1
51091,0
51092,0
51093,0
51094,0
51095,0
51096,0
51097,1
51098,1
51099,0
51100,0
51101,0
51102,1
51103,1
51104,1
51105,1
51106,0
51107,0
51108,0
51109,0
51110,1
51111,0
51112,1
51113,0
51114,0
51115,0
51116,0
51117,0
51118,0
51119,1
51120,1
51121,0
51122,1
51123,1
51124,0
51125,1
51126,0
51127,0
51128,0
51129,0
51130,1
51131,1
51132,1
51133,1
51134,0
51135,1
51136,1
51137,0
51138,0
51139,1
51140,1
51141,1
51142,0
51143,0
51144,0
51145,0
51146,1
51147,0
51148,0
51149,1
51150,0
51151,0
51152,0
51153,0
51154,1
51155,0
51156,0
51157,1
51158,1
51159,1
51160,0
51161,1
51162,1
51163,0
51164,1
51165,1
51166,0
51167,0
51168,0
51169,0
51170,1
51171,0
51172,1
51173,0
51174,0
51175,1
51176,0
51177,1
51178,0
51179,1
51180,0
51181,1
51182,1
51183,0
51184,1
51185,1
51186,1
51187,1
51188,0
51189,1
51190,0
51191,0
51192,1
51193,0
51194,0
51195,0
51196,1
51197,0
51198,1
51199,0
51200,1
51201,1
51202,1
51203,1
51204,1
51205,1
51206,1
51207,1
51208,0
51209,1
51210,0
51211,1
51212,1
51213,0
51214,0
51215,0
51216,1
51217,0
51218,0
51219,0
51220,0
51221,0
51222,0
51223,0
51224,1
51225,1
51226,0
51227,1
51228,1
51229,0
51230,1
51231,1
51232,0
51233,0
51234,0
51235,0
51236,0
51237,1
51238,0
51239,1
51240,0
51241,1
51242,1
51243,1
51244,1
51245,1
51246,1
51247,0
51248,0
51249,0
51250,0
51251,1
51252,0
51253,0
51254,0
51255,0
51256,1
51257,1
51258,0
51259,0
51260,0
51261,1
51262,0
51263,0
51264,1
51265,0
51266,0
51267,0
51268,1
51269,0
51270,0
51271,1
51272,1
51273,0
51274,1
51275,1
51276,0
51277,0
51278,1
51279,1
51280,0
51281,0
51282,1
51283,0
51284,1
51285,1
51286,1
51287,1
51288,0
51289,1
51290,0
51291,0
51292,0
51293,0
51294,0
51295,1
51296,1
51297,1
51298,0
51299,0
51300,0
51301,1
51302,0
51303,1
51304,1
51305,1
51306,1
51307,1
51308,1
51309,1
51310,1
51311,1
51312,0
51313,1
51314,1
51315,1
51316,1
51317,1
51318,1
51319,0
51320,1
51321,1
51322,0
51323,0
51324,0
51325,0
51326,0
51327,0
51328,1
51329,1
51330,0
51331,0
51332,1
51333,1
51334,1
51335,1
51336,1
51337,0
51338,0
51339,0
51340,1
51341,0
51342,0
51343,0
51344,0
51345,0
51346,1
51347,0
51348,0
51349,0
51350,1
51351,0
51352,1
51353,0
51354,1
51355,1
51356,1
51357,1
51358,1
51359,1
51360,0
51361,1
51362,0
51363,0
51364,1
51365,0
51366,1
51367,0
51368,1
51369,0
51370,0
51371,1
51372,1
51373,0
51374,0
51375,1
51376,0
51377,0
51378,1
51379,0
51380,1
51381,0
51382,1
51383,0
51384,0
51385,1
51386,0
51387,0
51388,0
51389,1
51390,0
51391,1
51392,1
51393,1
51394,0
51395,0
51396,1
51397,0
51398,0
51399,0
51400,1
51401,1
51402,0
51403,1
51404,1
51405,1
51406,0
51407,1
51408,1
51409,0
51410,0
51411,0
51412,0
51413,1
51414,0
51415,1
51416,1
51417,1
51418,0
51419,1
51420,0
51421,0
51422,1
51423,0
51424,1
51425,0
51426,0
51427,1
51428,1
51429,1
51430,1
51431,1
51432,0
51433,1
51434,1
51435,0
51436,1
51437,0
51438,0
51439,0
51440,0
51441,0
51442,1
51443,1
51444,1
51445,0
51446,0
51447,1
51448,1
51449,1
51450,1
51451,1
51452,0
51453,0
51454,0
51455,0
51456,0
51457,0
51458,0
51459,1
51460,0
51461,1
51462,0
51463,1
51464,1
51465,0
51466,1
51467,1
51468,0
51469,0
51470,0
51471,0
51472,0
51473,0
51474,0
51475,0
51476,0
51477,0
51478,1
51479,0
51480,1
51481,1
51482,0
51483,0
51484,1
51485,1
51486,0
51487,1
51488,1
51489,1
51490,1
51491,1
51492,0
51493,1
51494,1
51495,1
51496,1
51497,1
51498,0
51499,0
51500,0
51501,1
51502,0
51503,1
51504,1
51505,1
51506,1
51507,1
51508,0
51509,1
51510,0
51511,1
51512,0
51513,0
51514,0
51515,1
51516,0
51517,1
51518,0
51519,1
51520,0
51521,0
51522,1
51523,1
51524,1
51525,0
51526,0
51527,0
51528,0
51529,0
51530,1
51531,1
51532,0
51533,0
51534,0
51535,1
51536,1
51537,1
51538,1
51539,1
51540,0
51541,1
51542,1
51543,1
51544,1
51545,0
51546,0
51547,1
51548,1
51549,1
51550,1
51551,0
51552,0
51553,0
51554,1
51555,1
51556,1
51557,1
51558,0
51559,1
51560,0
51561,0
51562,1
51563,0
51564,1
51565,0
51566,1
51567,1
51568,0
51569,1
51570,0
51571,0
51572,0
51573,1
51574,0
51575,0
51576,1
51577,1
51578,1
51579,0
51580,0
51581,1
51582,1
51583,0
51584,0
51585,1
51586,1
51587,1
51588,1
51589,0
51590,1
